Dataset,Initial Algorithm,Removal Heuristic,Insertion Algorithm,Optimal Value,Average Processing Time
eil51.tsp,Randomized_Heuristics,Worst_Removal,Greedy_Insertion,1662,0.001340103
eil51.tsp,Randomized_Heuristics,Worst_Removal,Best_Insertion,1691,0.001331782
eil51.tsp,Randomized_Heuristics,Worst_Removal,Cheapest_Insertion,1722,0.001357007
eil51.tsp,Randomized_Heuristics,Worst_Removal,Nearest_Insertion,1423,0.001449203
eil51.tsp,Randomized_Heuristics,Worst_Removal,Random_Insertion,1647,0.000998402
eil51.tsp,Randomized_Heuristics,Worst_Removal,farthest_insertion,1602,0.001479077
eil51.tsp,Randomized_Heuristics,Shaw_Removal,Basic_Insertion,1492,0.001259708
eil51.tsp,Randomized_Heuristics,Shaw_Removal,Regret_2_Heuristic,1649,0.001264095
eil51.tsp,Randomized_Heuristics,Shaw_Removal,Regret_3_Heuristic,1407,0.00130949
eil51.tsp,Randomized_Heuristics,Shaw_Removal,Regret_N_Heuristic,1541,0.001298785
eil51.tsp,Randomized_Heuristics,Shaw_Removal,Greedy_Insertion,1380,0.001250386
eil51.tsp,Randomized_Heuristics,Shaw_Removal,Best_Insertion,1555,0.001238108
eil51.tsp,Randomized_Heuristics,Shaw_Removal,Cheapest_Insertion,1423,0.001240301
eil51.tsp,Randomized_Heuristics,Shaw_Removal,Nearest_Insertion,1576,0.001373005
eil51.tsp,Randomized_Heuristics,Shaw_Removal,Random_Insertion,1545,0.000868392
eil51.tsp,Randomized_Heuristics,Shaw_Removal,farthest_insertion,1695,0.001357007
eil51.tsp,Randomized_Heuristics,Related_Removal,Basic_Insertion,1542,0.001230884
eil51.tsp,Randomized_Heuristics,Related_Removal,Regret_2_Heuristic,1727,0.001241088
eil51.tsp,Randomized_Heuristics,Related_Removal,Regret_3_Heuristic,1485,0.001257682
eil51.tsp,Randomized_Heuristics,Related_Removal,Regret_N_Heuristic,1706,0.001294112
eil51.tsp,Randomized_Heuristics,Related_Removal,Greedy_Insertion,1610,0.001246524
eil51.tsp,Randomized_Heuristics,Related_Removal,Best_Insertion,1665,0.001243997
eil51.tsp,Randomized_Heuristics,Related_Removal,Cheapest_Insertion,1627,0.001251578
eil51.tsp,Randomized_Heuristics,Related_Removal,Nearest_Insertion,1571,0.001353383
eil51.tsp,Randomized_Heuristics,Related_Removal,Random_Insertion,1592,0.000881815
eil51.tsp,Randomized_Heuristics,Related_Removal,farthest_insertion,1653,0.001355195
eil51.tsp,Randomized_Heuristics,Route_Based_Removal,Basic_Insertion,1631,0.001037598
eil51.tsp,Randomized_Heuristics,Route_Based_Removal,Regret_2_Heuristic,1407,0.00105269
eil51.tsp,Randomized_Heuristics,Route_Based_Removal,Regret_3_Heuristic,1574,0.001071382
eil51.tsp,Randomized_Heuristics,Route_Based_Removal,Regret_N_Heuristic,1548,0.001107883
eil51.tsp,Randomized_Heuristics,Route_Based_Removal,Greedy_Insertion,1629,0.001063585
eil51.tsp,Randomized_Heuristics,Route_Based_Removal,Best_Insertion,1617,0.001085281
eil51.tsp,Randomized_Heuristics,Route_Based_Removal,Cheapest_Insertion,1625,0.001037407
